Date,^DJI,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
1992-01-02 00:00:00-05:00,3172.39990234375,0.4299667179584503,6.7694902420043945,3.225637197494507,13.254770278930664,2.5376389026641846,0.31459975242614746,5.316187858581543,7.068017959594727,4.557509422302246,5.15229606628418,10.230474472045898,0.8872807621955872,6.645607948303223,3.0426645278930664,4.726584434509277,5.200475215911865,9.40278434753418,9.263565063476562,1.4724146127700806,1.721994400024414,5.311808109283447,7.769691467285156,1.8539464473724365,5.161898136138916,2.641530752182007,9.21642780303955
1992-01-03 00:00:00-05:00,3201.5,0.4263537526130676,6.7694902420043945,3.206204652786255,13.219701766967773,2.5303685665130615,0.3205811381340027,5.364428520202637,7.258632659912109,4.632359027862549,5.213630199432373,10.244641304016113,0.8828660249710083,6.616006374359131,3.107748508453369,4.903278350830078,5.217036724090576,9.378105163574219,9.402762413024902,1.4594976902008057,1.7308861017227173,5.283249378204346,7.8761210441589355,1.9958295822143555,5.161898136138916,2.693666696548462,9.002091407775879
1992-01-06 00:00:00-05:00,3200.10009765625,0.41912704706192017,6.678928375244141,3.3422276973724365,13.289837837219238,2.5376389026641846,0.3217773139476776,5.2872443199157715,7.322772026062012,4.6240410804748535,5.290302276611328,10.457181930541992,0.8696229457855225,6.6752119064331055,3.2216451168060303,4.888554573059082,5.332973003387451,9.452138900756836,9.312286376953125,1.5047036409378052,1.6923561096191406,5.247549057006836,7.929339408874512,2.0242068767547607,5.095041275024414,2.7110438346862793,8.846209526062012
1992-01-07 00:00:00-05:00,3204.800048828125,0.42725691199302673,6.66760778427124,3.322796583175659,13.50023078918457,2.5521817207336426,0.3349353075027466,5.18110990524292,7.330408096313477,4.59909200668335,5.336307525634766,10.72640609741211,0.9093524217605591,6.7640204429626465,3.2704575061798096,4.8443803787231445,5.448903560638428,9.575535774230957,9.284443855285645,1.5499093532562256,1.677537441253662,5.247549057006836,7.8761210441589355,2.00528883934021,5.095041275024414,2.641530752182007,8.807235717773438
1992-01-08 00:00:00-05:00,3203.89990234375,0.4371934235095978,6.7581682205200195,3.381089448928833,13.710618019104004,2.5376389026641846,0.35048621892929077,5.152169704437256,7.483125686645508,4.557509422302246,5.474311828613281,10.471363067626953,0.9225953817367554,6.889824867248535,3.416896104812622,4.756033420562744,5.448903560638428,9.42746639251709,9.284443855285645,1.604802131652832,1.6686455011367798,5.254690647125244,7.822906017303467,2.0084421634674072,5.135477542877197,2.702354669570923,8.885180473327637
1992-01-09 00:00:00-05:00,3209.5,0.44983941316604614,6.792130470275879,3.4588167667388916,13.780756950378418,2.5376389026641846,0.3522803485393524,5.074981689453125,7.819100379943848,4.490976333618164,5.6123199462890625,10.343830108642578,0.94466632604599,6.8750224113464355,3.579606771469116,4.711857795715332,5.6807732582092285,9.279385566711426,9.270524978637695,1.6435508728027344,1.6834651231765747,5.283249378204346,7.743077278137207,2.087265968322754,5.081562042236328,2.702354669570923,8.885180473327637
1992-01-10 00:00:00-05:00,3199.5,0.44983941316604614,6.860051155090332,3.419952630996704,13.570361137390137,2.5085551738739014,0.3457009792327881,5.113574504852295,7.788554668426514,4.515925407409668,5.504981994628906,10.301321983337402,0.9314242005348206,6.808417320251465,3.5145232677459717,4.667685031890869,5.56483793258667,9.365766525268555,9.075654983520508,1.6177176237106323,1.7160664796829224,5.354640483856201,7.623343467712402,2.0904197692871094,5.0411224365234375,2.6502201557159424,8.826725006103516
1992-01-13 00:00:00-05:00,3185.60009765625,0.448032021522522,6.950611114501953,3.4005203247070312,13.710618019104004,2.428572177886963,0.3492894470691681,5.267948150634766,7.742745399475098,4.615725040435791,5.489649772644043,10.230474472045898,0.94466632604599,6.808417320251465,3.5145232677459717,4.645598888397217,5.56483793258667,9.390443801879883,8.915567398071289,1.6419352293014526,1.6893922090530396,5.376062870025635,7.676558017730713,2.055737018585205,5.000687599182129,2.7110438346862793,9.021580696105957
1992-01-14 00:00:00-05:00,3246.199951171875,0.46609848737716675,7.018533229827881,3.594836950302124,14.236604690551758,2.488410711288452,0.34809327125549316,5.316187858581543,7.987091541290283,4.715523719787598,5.581654071807861,10.471363067626953,0.9623244404792786,6.727011680603027,3.6935038566589355,4.697134494781494,5.697332382202148,9.624899864196777,8.915567398071289,1.6564658880233765,1.7723803520202637,5.533134460449219,7.716469764709473,2.159785509109497,5.027646064758301,2.7371127605438232,9.196939468383789
1992-01-15 00:00:00-05:00,3258.5,0.4588717818260193,6.611005783081055,3.4588167667388916,14.552191734313965,2.634357452392578,0.35766294598579407,5.2775959968566895,8.139806747436523,4.698891639709473,5.71966028213501,10.811423301696777,0.9888104796409607,6.416194438934326,3.9212987422943115,4.535165786743164,5.597963333129883,9.575535774230957,8.692859649658203,1.6984421014785767,1.8198024034500122,5.440316677093506,7.756383419036865,2.2323033809661865,4.973730087280273,2.702354669570923,9.138481140136719
1992-01-16 00:00:00-05:00,3249.60009765625,0.45345234870910645,6.214800834655762,3.439383029937744,14.552191734313965,2.751115560531616,0.36304613947868347,5.248650550842285,8.05581283569336,4.549191951751709,5.71966028213501,10.82559871673584,1.0770965814590454,6.194180488586426,3.872483968734741,4.358468532562256,5.415781497955322,9.5385160446167,8.581497192382812,1.6500074863433838,1.7723803520202637,5.2903852462768555,7.583428859710693,2.0904197692871094,4.919814109802246,2.5807061195373535,9.041058540344238
